"Are You Sure?","Sind Sie sicher?"
"Store","Laden"
"Shipping Address","Lieferanschrift"
"Dashboard","Übersicht"
"Dashboard Control","Übersicht"
"=========","== Mage-Connect.csv ======="
"1.5.0.0 & later","1.5.0.0 und neuer"
"Action","Aktion"
"Add Author","Autor hinzufügen"
"Add Contents Path","Inhaltspfad hinzufügen"
"Add PHP Extension dependency","PHP-Erweiterung-Abhängigkeit hinzufügen"
"Add Package dependency","Paket-Abhängigkeit hinzufügen"
"Add files","Dateien hinzufügen"
"Authors","Verantwortliche Autoren"
"Channel","Kanal"
"Contents","Inhalte"
"Create Extension Package","Erweiterungs-Paket erstellen"
"Dependencies","Abhängigkeiten"
"Edit Extension","Erweiterung bearbeiten"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"Failed to create the package.","Paket konnte nicht erstellt werden."
"Failed to load the package data.","Paketdaten konnten nicht geladen werden."
"Failed to save the package.","Paket konnte nicht gespeichert werden."
"Files","Dateien"
"Folder","Verzeichnis/Pfad"
"Ignore","Ignorieren"
"Include","Einschließen"
"License","Lizenz"
"License URI","Lizenz URL"
"Load Local Package","Lokales Paket laden"
"Load local Package","Lokales Paket laden"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"New Extension","Neue Erweiterung"
"PHP Version","PHP-Version"
"Package File Name","Paket Dateiname"
"Package Info","Paket Info"
"Packages","Pakete"
"Path","Pfad"
"Pre-1.5.0.0","älter als 1.5.0.0"
"Release Info","Informationen zur Veröffentlichung"
"Remove","Entfernen"
"Save As...","Speichern unter ..."
"Save Data and Create Package","Daten speichern und Paket erstellen"
"Save package with custom package file name","Paket speichern mit individueller Bezeichnung der Paketdatei"
"Summary","Kurzbeschreibung"
"Supported releases","Unterstützte Versionen"
"Target","Ziel"
"The package %s data has been loaded.","Die Daten des Pakets %s wurden geladen."
"The package data has been saved.","Die Paketdaten wurden gespeichert."
"There was a problem saving package data","Beim Speichern der Paketdaten ist ein Fehler aufgetreten."
"Type","Art"
