"A user with the same user name or email already exists.","Ein Benutzer mit demselben Benutzernamen oder E-Mail-Adresse gibt es schon."
"Access denied.","Zugang verweigert."
"Api Key confirmation must be same as Api Key.","Api-Schlüssel-Bestätigung must be same as Api-Schlüssel."
"Api Key must be at least of %d characters.","Api-Schlüssel muss mindestens %d Zeichen enthalten."
"Api Key must include both numeric and alphabetic characters.","Api-Schlüssel muss sowohl numerische und alphabetische Zeichen enthalten."
"Can not find webservice adapter.","Webservice-Adapter wurde nicht gefunden."
"Client Session Timeout (sec.)","Zeitüberschreitung bei der Kundensitzung (Sek.)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","E-Mail"
"Enable WSDL Cache","WSDL-Cache aktivieren"
"First Name is required field.","Vorname ist eine Pflichtangabe."
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice-Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice-Handler angegeben."
"Last Name is required field.","Nachname ist eine Pflichtangabe."
"Magento Core API","Magento Core-API"
"Magento Core API Section","Magento Core-API-Sektion"
"Please enter a valid email.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Gruppenberechtigungen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Benutzer"
"Unable to login.","Login fehlgeschlagen."
"User Name","Benutzername"
"User Name is required field.","Benutzername ist eine Pflichtangabe."
"WS-I Compliance","WS-I Konformität"
"Web Services","Webdienste"
"Web Services Configuration","Konfiguration der Webdienste"
"Web Services definition files (api.xml).","Webdienste-Definitionsdateien (api.xml)."
"Web Services definition files (api2.xml).","Webdienste-Definitionsdateien (api2.xml)."
"Your account has been deactivated.","Ihr Kundenkonto wurde deaktiviert."
