" was not delivered nor scanned"," wurde weder geliefert noch gescannt"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Pro Bestellung"" ermöglicht eine einzelne Bearbeitungsgebühr für die gesamte Bestellung. ""Pro Paket"" ermöglicht eine Bearbeitungsgebühr für jedes zur Bestellung gehörende Paket."
"1 Day Freight","1 Tag Fracht"
"2 Day","2 Tage"
"2 Day AM","2 Tage Morgenzustellung"
"2 Day Freight","2 Tage Fracht"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost Vormittags"
"2nd Day Air AM Letter","2. Tag Luftpost Vormittags Briefsendung"
"2nd Day Air Letter","2. Tag Luftpost Briefsendung"
"3 Day Freight","3 Tage Fracht"
"3 Day Select","3 Tage Select"
"Access ID","Zugangsnummer"
"Access License Number","Zugangslizenznummer"
"Account ID","Kundenkonto-Kennung"
"Account Number","Kundenkonto-Nummer"
"Additional Protection Configuration Value","Zusätzliche Absicherung Konfigurationswert"
"Additional Protection Enabled","Zusätzliche Absicherung aktiviert"
"Additional Protection Min Subtotal","Zusätzliche Absicherung Mindestzwischensumme"
"Additional Protection Value","Zusätzlicher Absicherungswert"
"Additional Protection Value Rounding Method","Rundungsmethode für zusätzlichen Absicherungswert"
"Adult","Erwachsener"
"Adult Signature Required","Unterschrift eines Erwachsenen erforderlich"
"Allowed Methods","Erlaubte Methoden"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Diese Funktion ermöglicht es, das Gesamtgewicht der Bestellung in kleinere Teile zu splitten, wenn es %s %s übersteigt. Damit wird die korrekte Versandkostenberechnung sichergestellt."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Diese Funktion ermöglicht es, das Gesamtgewicht der Bestellung in kleinere Teile zu splitten, wenn es 70 kg übersteigt. Damit wird die korrekte Versandkostenberechnung sichergestellt."
"Bound Printed Matter","Gebundene Druckerzeugnisse"
"Break bulk economy","Massenstückgut Economy"
"Break bulk express","Massenstückgut Express"
"Business Service Center","Geschäftskunden-Servicezentrum"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Canada Standard","Kanada Standard"
"Cannot identify measure unit for %s","Maßeinheit für %s konnte nicht erkannt werden"
"Cannot identify weight unit for %s","Gewichtseinheit für %s konnte nicht erkannt werden"
"Cannot retrieve shipping rates","Versandkosten konnten nicht abgefragt werden"
"Centimeters","Zentimeter"
"Commercial","Geschäftlich"
"Configuration","Konfiguration"
"Container","Verpackungsart"
"Content Type","Art des Inhaltes"
"Customer Packaging","Kundenverpackung"
"Customer Supplied Package","Vom Kunden gelieferte Verpackung"
"Customer services","Kundenservice"
"DHL","DHL"
"DHL (Deprecated)","DHL (veraltet)"
"DHL service is not available at %s date","Der DHL-Service ist am Tag %s nicht verfügbar."
"Debug","Fehlersuche"
"Default Package Height","Standard Verpackungshöhe"
"Default Package Length","Standard Verpackungslänge"
"Default Package Width","Standard Verpackungsbreite"
"Delivered","Zugestellt"
"Delivery Confirmation","Zustellbestätigung"
"Depth","Tiefe"
"Destination Type","Zustellart"
"Destination facility code is empty","Zielstandort-Code ist leer"
"Development","Entwicklung"
"Direct","Direkt"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide Order Weight","Gewicht aufteilen"
"Documents","Dokumente"
"Domestic Shipment Days","Inland Versandtage"
"Domestic economy select","Inland Economy Select"
"Domestic express","Inland Express"
"Drop Box","Briefkasten"
"Dropoff","Einwurf"
"Easy shop","Easy Shop"
"Economy select","Economy Select"
"Empty response","Leere Rückmeldung"
"Enable Negotiated Rates","Vereinbarte Kosten aktivieren"
"Enable SSL Verification","SSL-Überprüfung aktivieren"
"Enabled for Checkout","Fertig zum Bezahlvorgang"
"Enables/Disables SSL verification of Magento server by UPS.","Aktiviert/Deaktiviert SSL-Prüfung des Magento Servers via UPS."
"Error #%s : %s","Fehler Nr. %s: %s"
"Error #%s : %s (%s)","Fehler Nr. %s: %s (%s)"
"Error #%s: %s","Fehler Nr. %s: %s"
"Europack","Europack"
"Europe First Priority","Europa höchste Priorität"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Umrechnungskurs %s (Basiswährung) -> %s nicht gefunden. DHL-Methode %s übersprungen."
"Express","Express"
