"Language Packs","Paquets de Langue"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Votre Locale Pack ne correspond pas à votre version Magento. <a href='%s'>Obtenez plus d'informations ici.</a>"
"Austria","Autriche"
"Switzerland","Suisse"
"Germany","Allemagne"
"Luxembourg","Luxembourg"
"German (Austria)","Allemand (Autriche)"
"German (Switzerland)","Allemand (Suisse)"
"German (Germany)","Allemand (Allemagne)"
"German (Luxembourg)","Allemand (Luxembourg)"
"German (Custom)","Allemand (personnalisé)"
"German language package de_AT - Community Edition (CE)","Paquet de langue allemande de_AT - Community Edition (CE)"
"German language package de_CH - Community Edition (CE)","Paquet de langue allemande de_CH - Community Edition (CE)"
"German language package de_DE - Community Edition (CE)","Paquet de langue allemande de_DE - Community Edition (CE)"
"German language package de_LU - Community Edition (CE)","Paquet de langue allemande de_LU - Community Edition (CE)"
"German language package de_ZZ - Community Edition (CE)","Paquet de langue allemande de_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"On the <a href='%s'>Magento Connect page of the German language pack</a>, you can find more information on the latest versions.","Sur la <a href='%s'>Magento Connect page du pack de langue allemande</a> que vous trouverez de plus amples informations sur les versions actuelles."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Pour les intéressés, il est un <a href='%s'>dépôt GitHub</a>. Il est prévu pour les fins suivantes:"
"Development of current language pack versions","Développement de versions de pack de langues actuelle"
"Report an error / send in patches, also happy for both published releases","Signaler une erreur / envoyer un patch, aussi heureux pour les deux communiqués publiés"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","La participation active dans la language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Remarque pour des informations détaillées, le fichier README sur la page GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Afin d'assurer la couverture de la traduction Magento, s'il vous plaît voir les informations dans les paragraphes plus bas!"
"powered by","alimenté par"
"and","et"
"Translate Magento Connect Manager","Traduire Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","Pour installer la traduction pour le gestionnaire de Magento Connect, procédez comme suit:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","Dans votre répertoire racine de Magento dans le sous-répertoire ""%s"" renommer le répertoire ""%s"" en ""%s""."
"The directory","Le répertoire"
"or","ou"
"from","de"
"rename into ""template""","renommer en ""template"""
"The Magento Connect Manager should be changed to German now.","La Magento Connect Manager doit maintenant être changé en <span style='color:red'>allemand</span>."
"Please note:","Notez s'il vous plaît:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps."
"Using your own translations","Utilisation de vos propres traductions"
"Recommended extensions","Extensions recommandées"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Le pack de langue installée seulement fournit des traductions de textes existants dans Magento. Si vous voulez préparer votre boutique Magento sur les exigences juridiques en %s ou développer des modes de paiement, nous vous recommandons d'installer les extensions suivantes."
"Specific market adjustment for","Ajustement du marché spécifique pour"
"Austrian and European stores","les magasins autrichiens et européens"
"Swiss and European stores","les magasins suisses et européens"
"German and European stores","les magasins allemands et européens"
"Luxembourg and European stores","les magasins luxembourgs et européens"
"Preconfigured for the Austrian market","Préconfiguré pour le marché autrichien"
"Preconfigured for the Swiss market","Préconfiguré pour le marché suisse"
"Preconfigured for the German market","Préconfiguré pour le marché allemand"
"Currently not available","Actuellement pas disponible"
"Common payment methods","Des modes de paiement"
"Debit / direct debit","Débit / débit direct"
"Cash On Delivery","Paiement à la livraison"
"Payment in Advance","Paiement anticipé"
"Extension Key for the","EClé d'extension pour le"
"on","sur"
"Translate TinyMCE","Traduire TinyMCE"
"Use German language for TinyMCE Editor?","Utilisez la version allemande de l'éditeur TinyMCE?"
"custom stores","personnalisés magasins"
"This is your individual language pack that is only managed and maintained by you.","Il est son propre pack individuel de la langue qui est seulement géré et entretenu que par vous."
"Adjust the file ""%s"" with your name and the link to your website.","Réglez le fichier ""%s"" avec votre nom et le lien à votre site web."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Remplissez les fichiers de langue dans ""app/locale/de_ZZ"" avec vos propres traductions et ne jamais perdre à nouveau vos personnalisations."
